1000
0  1  Logic.CreateMainPlayerCommand  
0  2  Logic.CreatePlayerCommand  
33  2  Logic.CreateBuildingCommand  
66  1  Logic.CreateBuildingCommand  
683
1003(0, 0, -1880883)    (13411, 0, 64149)
1003(1788, 0, -1872330)    (13411, 0, 64149)
1003(3576, 0, -1863777)    (13411, 0, 64149)
1003(5364, 0, -1855224)    (13411, 0, 64149)
1003(7152, 0, -1846671)    (13411, 0, 64149)
1003(8940, 0, -1838118)    (13411, 0, 64149)
1003(10728, 0, -1829565)    (13411, 0, 64149)
1003(12516, 0, -1821012)    (13411, 0, 64149)
1003(14304, 0, -1812459)    (13411, 0, 64149)
1003(16092, 0, -1803906)    (13411, 0, 64149)
1003(17880, 0, -1795353)    (13411, 0, 64149)
1003(19668, 0, -1786800)    (13411, 0, 64149)
1003(21456, 0, -1778247)    (13411, 0, 64149)
1003(23244, 0, -1769694)    (13411, 0, 64149)
1003(25032, 0, -1761141)    (13411, 0, 64149)
1003(26820, 0, -1752588)    (13411, 0, 64149)
1003(28608, 0, -1744035)    (13411, 0, 64149)
1003(30396, 0, -1735482)    (13411, 0, 64149)
1003(32184, 0, -1726929)    (13411, 0, 64149)
1003(33972, 0, -1718376)    (13411, 0, 64149)
1003(35760, 0, -1709823)    (13411, 0, 64149)
1003(37548, 0, -1701270)    (13411, 0, 64149)
1003(39336, 0, -1692717)    (13411, 0, 64149)
1003(41124, 0, -1684164)    (13411, 0, 64149)
1003(42912, 0, -1675611)    (13411, 0, 64149)
1003(44700, 0, -1667058)    (13411, 0, 64149)
1003(46488, 0, -1658505)    (13411, 0, 64149)
1003(48276, 0, -1649952)    (13411, 0, 64149)
1003(50064, 0, -1641399)    (13411, 0, 64149)
1003(51852, 0, -1632846)    (13411, 0, 64149)
1003(53640, 0, -1624293)    (13411, 0, 64149)
1003(55428, 0, -1615740)    (13411, 0, 64149)
1003(57216, 0, -1607187)    (13411, 0, 64149)
1003(59004, 0, -1598634)    (13411, 0, 64149)
652
1004(0, 0, 1946419)    (12978, 0, -64244)
1003(60792, 0, -1590081)    (13411, 0, 64149)
1004(1730, 0, 1937853)    (12978, 0, -64244)
1003(62580, 0, -1581528)    (13411, 0, 64149)
1004(3460, 0, 1929287)    (12978, 0, -64244)
1003(64368, 0, -1572975)    (13411, 0, 64149)
1004(5190, 0, 1920721)    (12978, 0, -64244)
1003(66156, 0, -1564422)    (13411, 0, 64149)
1004(6920, 0, 1912155)    (12978, 0, -64244)
1003(67944, 0, -1555869)    (13411, 0, 64149)
1004(8650, 0, 1903589)    (12978, 0, -64244)
1003(69732, 0, -1547316)    (13411, 0, 64149)
1004(10380, 0, 1895023)    (12978, 0, -64244)
1003(71520, 0, -1538763)    (13411, 0, 64149)
1004(12110, 0, 1886457)    (12978, 0, -64244)
1003(73308, 0, -1530210)    (13411, 0, 64149)
1004(13840, 0, 1877891)    (12978, 0, -64244)
1003(75096, 0, -1521657)    (13411, 0, 64149)
1004(15570, 0, 1869325)    (12978, 0, -64244)
1003(76884, 0, -1513104)    (13411, 0, 64149)
1004(17300, 0, 1860759)    (12978, 0, -64244)
1003(78672, 0, -1504551)    (13411, 0, 64149)
1004(19030, 0, 1852193)    (12978, 0, -64244)
1003(80460, 0, -1495998)    (13411, 0, 64149)
1004(20760, 0, 1843627)    (12978, 0, -64244)
1003(82248, 0, -1487445)    (13411, 0, 64149)
1004(22490, 0, 1835061)    (12978, 0, -64244)
284
1005(0, 0, -1880883)    (13411, 0, 64149)
1003(84036, 0, -1478892)    (13411, 0, 64149)
1004(24220, 0, 1826495)    (12978, 0, -64244)
1005(1788, 0, -1872330)    (13411, 0, 64149)
1003(85824, 0, -1470339)    (13411, 0, 64149)
1004(25950, 0, 1817929)    (12978, 0, -64244)
1005(3576, 0, -1863777)    (13411, 0, 64149)
1003(87612, 0, -1461786)    (13411, 0, 64149)
